region,dollars_millions,continent
Netherlands,440,Europe
Spain,626,Europe
Italy,512,Europe
Egypt,574,Africa
Benin,124,Africa
Kenya,242,Africa
Tanzania,198,Africa
South Africa,172,Africa
Russia,367,Asia
Bangladesh,705,Asia
Pakistan,1200,Asia
Saudi Arabia,331,Asia
China,2600,Asia
India,2300,Asia
Myanmar,449,Asia
South Korea,169,Asia
Vietnam,186,Asia
Malaysia,644,Asia
Philippines,186,Asia
USA,557,North America
